CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,68,94
2,Female,56,22,62
3,Male,66,41,69
4,Male,69,41,76
5,Male,49,112,16
6,Female,21,35,90
7,Male,47,44,90
8,Male,54,111,48
9,Male,40,42,85
10,Female,56,125,39
11,Male,62,78,33
12,Male,32,111,94
13,Male,60,83,23
14,Male,46,75,10
15,Female,53,62,69
16,Male,30,33,34
17,Female,49,18,52
18,Female,24,49,95
19,Female,68,78,10
20,Male,39,63,19
21,Female,45,31,58
22,Male,19,58,96
23,Female,59,106,1
24,Female,62,44,69
25,Female,23,107,4
26,Female,45,60,16
27,Female,45,131,24
28,Female,61,20,80
29,Female,61,113,2
30,Female,37,119,92
31,Male,47,51,32
32,Male,28,38,91
33,Female,45,107,84
34,Female,42,127,24
35,Female,56,60,12
36,Male,50,67,50
37,Female,18,109,35
38,Male,44,113,33
39,Male,69,74,33
40,Male,30,111,61
41,Male,58,130,51
42,Male,20,77,43
43,Female,56,99,12
44,Female,23,46,67
45,Female,25,101,65
46,Female,44,47,33
47,Female,26,81,40
48,Male,54,32,74
49,Female,50,39,43
50,Female,68,120,44
51,Male,59,109,29
52,Female,61,68,13
53,Male,41,72,12
54,Female,32,81,95
55,Male,49,118,46
56,Female,49,60,2
57,Female,41,38,35
58,Male,58,128,87
59,Male,69,46,81
60,Male,66,61,90
61,Male,66,100,8
62,Male,69,37,93
63,Male,29,80,26
64,Male,56,41,74
65,Male,19,120,90
66,Female,20,16,34
67,Female,66,104,7
68,Male,54,31,68
69,Female,66,118,58
70,Female,34,47,75
71,Female,66,23,29
72,Female,19,57,36
73,Male,19,132,89
74,Female,45,62,21
75,Male,40,53,36
76,Female,54,107,10
77,Female,49,56,73
78,Female,50,133,24
79,Male,18,40,64
80,Female,36,113,99
81,Male,19,64,49
82,Female,61,39,99
83,Male,43,38,36
84,Female,49,27,82
85,Male,23,74,96
86,Male,49,21,24
87,Female,21,71,23
88,Male,28,50,62
89,Female,34,59,96
90,Female,55,34,37
91,Female,41,79,12
92,Female,22,22,55
93,Female,69,124,13
94,Female,51,30,23
95,Female,23,28,89
96,Female,39,90,99
97,Female,28,129,30
98,Female,65,101,17
99,Female,33,29,62
100,Male,50,106,84
101,Male,26,112,89
102,Female,23,80,86
103,Female,33,46,13
104,Female,46,101,59
105,Female,20,77,19
106,Female,37,100,49
107,Female,53,65,12
108,Female,36,39,61
109,Female,43,72,19
110,Male,20,77,76
111,Female,36,76,9
112,Male,37,36,71
113,Female,49,72,28
114,Female,24,72,78
115,Male,69,100,95
116,Female,58,63,52
117,Male,50,66,83
118,Female,57,56,16
119,Female,56,84,69
120,Male,35,29,99
121,Female,57,68,12
122,Male,18,121,25
123,Female,28,74,52
124,Male,45,115,85
125,Male,42,111,53
126,Female,67,22,23
127,Female,40,67,16
128,Male,48,74,57
129,Female,47,122,39
130,Female,59,122,53
131,Female,52,19,42
132,Male,24,117,58
133,Male,33,82,39
134,Male,43,20,14
135,Male,65,123,95
136,Male,69,110,5
137,Male,66,130,35
138,Male,19,108,87
139,Male,18,61,93
140,Male,65,113,75
141,Female,29,69,18
142,Male,22,54,76
143,Female,54,66,9
144,Female,49,30,74
145,Female,26,27,58
146,Male,58,128,17
147,Male,52,120,7
148,Male,36,44,46
149,Male,65,33,13
150,Female,33,31,40
151,Male,20,134,42
152,Male,37,77,9
153,Male,41,33,50
154,Male,50,106,27
155,Male,41,72,66
156,Female,69,69,5
157,Male,28,104,29
158,Female,66,115,37
159,Male,25,104,38
160,Female,53,131,83
161,Male,55,76,8
162,Male,57,37,65
163,Female,37,23,86
164,Female,52,26,17
165,Female,65,131,71
166,Male,42,15,89
167,Female,52,72,45
168,Male,42,15,4
169,Male,46,125,36
170,Female,35,48,70
171,Female,63,110,31
172,Male,35,132,19
173,Male,19,62,61
174,Female,52,103,54
175,Female,33,118,39
176,Female,58,123,91
177,Male,53,131,74
178,Male,50,15,90
179,Male,21,30,19
180,Male,50,75,39
181,Male,31,117,67
182,Male,38,78,45
183,Female,65,77,13
184,Male,37,83,92
185,Male,25,36,58
186,Male,24,107,20
187,Female,20,133,92
188,Male,34,81,72
189,Male,50,90,61
190,Female,65,40,39
191,Male,29,30,1
192,Male,68,65,3
193,Male,39,115,77
194,Male,39,100,92
195,Male,63,71,62
196,Female,47,43,63
197,Female,55,92,25
198,Female,55,106,56
199,Male,62,83,33
200,Male,68,61,38
